Gene_id,Condition
TCGA_A6_2686_11A,Normal
TCGA_AA_A00Q_01A,Cancer
TCGA_A6_6781_01B,Cancer
TCGA_AA_A00F_01A,Cancer
TCGA_D5_6920_01A,Cancer
TCGA_AA_3815_01A,Cancer
TCGA_D5_5538_01A,Cancer
TCGA_A6_A566_01A,Cancer
TCGA_A6_6782_01A,Cancer
TCGA_CM_6168_01A,Cancer
TCGA_A6_6654_01A,Cancer
TCGA_AA_A01D_01A,Cancer
TCGA_QG_A5YV_01A,Cancer
TCGA_A6_3807_01A,Cancer
TCGA_AZ_5403_01A,Cancer
TCGA_AD_6888_01A,Cancer
TCGA_G4_6628_01A,Cancer
TCGA_DM_A1D6_01A,Cancer
TCGA_AA_A00K_01A,Cancer
TCGA_AA_3862_01A,Cancer
TCGA_AA_3662_11A,Normal
TCGA_AA_3939_01A,Cancer
TCGA_AA_3514_01A,Cancer
TCGA_AA_3660_01A,Cancer
TCGA_AA_3833_01A,Cancer
TCGA_AA_A01P_01A,Cancer
TCGA_CM_5863_01A,Cancer
TCGA_AZ_6598_01A,Cancer
TCGA_AA_3679_01A,Cancer
TCGA_G4_6304_01A,Cancer
TCGA_DM_A285_01A,Cancer
TCGA_G4_6294_01A,Cancer
TCGA_A6_4107_01A,Cancer
TCGA_CA_6716_01A,Cancer
TCGA_CK_4952_01A,Cancer
TCGA_G4_6302_01A,Cancer
TCGA_AA_3844_01A,Cancer
TCGA_D5_6541_01A,Cancer
TCGA_AA_3516_11A,Normal
TCGA_AA_A01G_01A,Cancer
TCGA_AA_3870_01A,Cancer
TCGA_D5_6532_01A,Cancer
TCGA_G4_6322_01A,Cancer
TCGA_D5_5541_01A,Cancer
TCGA_DM_A1DB_01A,Cancer
TCGA_AA_A00A_01A,Cancer
TCGA_A6_2684_01A,Cancer
TCGA_AA_3855_01A,Cancer
TCGA_F4_6463_01A,Cancer
TCGA_NH_A6GC_01A,Cancer
TCGA_AA_3526_01A,Cancer
TCGA_DM_A28M_01A,Cancer
TCGA_D5_6926_01A,Cancer
TCGA_G4_6317_01A,Cancer
TCGA_AA_A01K_01A,Cancer
TCGA_AA_3984_01A,Cancer
TCGA_D5_6536_01A,Cancer
TCGA_AD_A5EK_01A,Cancer
TCGA_AA_3663_01A,Cancer
TCGA_AD_6965_01A,Cancer
TCGA_CM_4744_01A,Cancer
TCGA_AA_3712_01A,Cancer
TCGA_AA_3543_01A,Cancer
TCGA_AZ_5407_01A,Cancer
TCGA_G4_6314_01A,Cancer
TCGA_CM_5348_01A,Cancer
TCGA_CK_6751_01A,Cancer
TCGA_D5_6929_01A,Cancer
TCGA_AA_3675_01A,Cancer
TCGA_A6_2681_01A,Cancer
TCGA_F4_6808_01A,Cancer
TCGA_DM_A282_01A,Cancer
TCGA_AA_3489_01A,Cancer
TCGA_AM_5821_01A,Cancer
TCGA_G4_6298_01A,Cancer
TCGA_AA_A01S_01A,Cancer
TCGA_DM_A28H_01A,Cancer
TCGA_AA_3966_01A,Cancer
TCGA_AA_3516_01A,Cancer
TCGA_4T_AA8H_01A,Cancer
TCGA_AA_3544_01A,Cancer
TCGA_AA_3956_01A,Cancer
TCGA_AA_3532_01A,Cancer
TCGA_AA_3955_01A,Cancer
TCGA_F4_6704_01A,Cancer
TCGA_AD_6895_01A,Cancer
TCGA_AA_3556_01A,Cancer
TCGA_RU_A8FL_01A,Cancer
TCGA_AA_3851_01A,Cancer
TCGA_CM_5860_01A,Cancer
TCGA_AA_3534_01A,Cancer
TCGA_AA_A02F_01A,Cancer
TCGA_AA_3979_01A,Cancer
TCGA_DM_A1DA_01A,Cancer
TCGA_CM_6162_01A,Cancer
TCGA_AA_3522_01A,Cancer
TCGA_AA_A00U_01A,Cancer
TCGA_A6_2671_11A,Normal
TCGA_A6_5662_11A,Normal
TCGA_A6_5665_11A,Normal
TCGA_F4_6807_01A,Cancer
TCGA_AA_3930_01A,Cancer
TCGA_AZ_6599_01A,Cancer
TCGA_AA_3947_01A,Cancer
TCGA_AA_3841_01A,Cancer
TCGA_AZ_4684_01A,Cancer
TCGA_AA_3814_01A,Cancer
TCGA_CM_6679_01A,Cancer
TCGA_A6_6649_01A,Cancer
TCGA_G4_6297_01A,Cancer
TCGA_A6_5656_01B,Cancer
TCGA_A6_5659_11A,Normal
TCGA_DM_A0X9_01A,Cancer
TCGA_AA_3553_01A,Cancer
TCGA_DM_A0XD_01A,Cancer
TCGA_AA_3511_01A,Cancer
TCGA_A6_A56B_01A,Cancer
TCGA_A6_5667_01A,Cancer
TCGA_CM_5868_01A,Cancer
TCGA_AA_3866_01A,Cancer
TCGA_AA_A017_01A,Cancer
TCGA_DM_A1D8_01A,Cancer
TCGA_CM_6170_01A,Cancer
TCGA_A6_2684_11A,Normal
TCGA_DM_A28E_01A,Cancer
TCGA_AA_3994_01A,Cancer
TCGA_AA_3877_01A,Cancer
TCGA_WS_AB45_01A,Cancer
TCGA_AA_A00L_01A,Cancer
TCGA_CM_5864_01A,Cancer
TCGA_CA_5254_01A,Cancer
TCGA_AA_3712_11A,Normal
TCGA_D5_6898_01A,Cancer
TCGA_AA_3511_11A,Normal
TCGA_AZ_4682_01B,Cancer
TCGA_A6_5667_11A,Normal
TCGA_AA_3696_01A,Cancer
TCGA_DM_A280_01A,Cancer
TCGA_AA_3660_11A,Normal
TCGA_AA_A00O_01A,Cancer
TCGA_D5_6531_01A,Cancer
TCGA_CK_4948_01B,Cancer
TCGA_DM_A1HA_01A,Cancer
TCGA_5M_AAT5_01A,Cancer
TCGA_CM_6674_01A,Cancer
TCGA_F4_6809_01A,Cancer
TCGA_CM_4748_01A,Cancer
TCGA_AA_3858_01A,Cancer
TCGA_A6_6780_01B,Cancer
TCGA_AA_3662_01A,Cancer
TCGA_AM_5820_01A,Cancer
TCGA_AA_A02K_01A,Cancer
TCGA_AA_3518_11A,Normal
TCGA_G4_6310_01A,Cancer
TCGA_AD_6889_01A,Cancer
TCGA_AA_3872_01A,Cancer
TCGA_AA_A01R_01A,Cancer
TCGA_AA_3975_01A,Cancer
TCGA_A6_2675_11A,Normal
TCGA_AD_6964_01A,Cancer
TCGA_AA_3562_01A,Cancer
TCGA_AZ_4616_01A,Cancer
TCGA_D5_6931_01A,Cancer
TCGA_D5_6924_01A,Cancer
